cell,split,model,params,log_mse,fid_mae,horizon_0.05,horizon_0.02,fit_s
len40/idle100,horizon_le20,markov,27,0.15238,0.14479,,,0.2
len40/idle100,horizon_le20,transfer_tensor,6,0.13666,0.13525,,,0.8
len40/idle100,horizon_le20,process_mpo,79,0.12814,0.12856,,,217.3
len40/idle100,horizon_le20,process_mpo,133,0.12958,0.12899,,,655.5
len40/idle100,horizon_le20,gru,171,0.14124,0.12419,,,18.6
len40/idle100,horizon_le20,gru,825,0.17167,0.15499,,,31.6
len40/idle100,horizon_le20,transformer,7697,0.17868,0.15814,,,136.9
len40/idle100,bias_ho0.61_0.63,markov,27,0.1727,0.1318,,,0.5
len40/idle100,bias_ho0.61_0.63,transfer_tensor,6,0.18339,0.14085,,,1.3
len40/idle100,bias_ho0.61_0.63,process_mpo,79,0.16533,0.13199,,,744.7
len40/idle100,bias_ho0.61_0.63,process_mpo,133,0.16739,0.13327,,,2259.8
len40/idle100,bias_ho0.61_0.63,gru,171,0.21037,0.13779,,,59.1
len40/idle100,bias_ho0.61_0.63,gru,825,0.17791,0.13202,,,105.1
len40/idle100,bias_ho0.61_0.63,transformer,7697,0.23134,0.14771,,,404.2
len40/idle100,family_ho2,markov,27,0.22868,0.1655,,,0.0
len40/idle100,family_ho2,transfer_tensor,6,0.1998,0.14599,,,0.1
len40/idle100,family_ho2,process_mpo,79,0.31192,0.19602,,,17.8
len40/idle100,family_ho2,process_mpo,133,0.32954,0.20506,,,30.1
len40/idle100,family_ho2,gru,171,0.54174,0.24755,,,4.0
len40/idle100,family_ho2,gru,825,0.51688,0.24853,,,77.0
len40/idle100,family_ho2,transformer,7697,0.31753,0.23599,,,12.3
